No.,Time,Source,Destination,Protocol,Length,Info,Label
49247,4506.354335,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49251,4506.538015,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
49256,4506.538432,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49260,4506.538623,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
49309,4511.554426,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49310,4511.554626,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49359,4516.554438,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49363,4516.715413,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
49365,4516.715563,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49372,4516.715805,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
49417,4521.754517,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49418,4521.754698,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49465,4526.627992,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
49470,4526.628286,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
49517,4531.654917,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49518,4531.655082,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49569,4536.654923,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49571,4536.746663,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
49576,4536.746892,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49580,4536.747063,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
49627,4541.754878,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49628,4541.75507,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49679,4546.754916,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49684,4546.975545,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
49686,4546.975737,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49693,4546.975958,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
49740,4552.005085,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49741,4552.005278,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49788,4557.005099,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49796,4557.679987,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
49798,4557.680106,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49805,4557.680374,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
49852,4562.705186,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49853,4562.705372,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
49900,4567.232986,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
49905,4567.233289,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
49956,4572.255509,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
49957,4572.255735,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50009,4577.25559,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50013,4577.551438,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50018,4577.551695,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50022,4577.551949,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50051,4580.55773,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50056,4580.558103,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50103,4585.605623,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50104,4585.605812,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50124,4587.403584,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50129,4587.403896,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50178,4592.405662,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50179,4592.405857,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50228,4597.405764,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50232,4597.614396,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50235,4597.614556,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50241,4597.614838,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50288,4602.656047,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50289,4602.656233,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50338,4607.656098,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50342,4607.780355,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50347,4607.780533,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50351,4607.780691,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50398,4612.805977,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50399,4612.806166,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50448,4617.806046,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50455,4618.458372,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50460,4618.458572,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50464,4618.458761,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50511,4623.506174,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50512,4623.50637,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50556,4627.901938,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50561,4627.902207,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50608,4632.906396,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50609,4632.906592,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50658,4637.906363,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50665,4638.284925,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50667,4638.285049,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50674,4638.285309,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50721,4643.3065,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50722,4643.306691,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50771,4648.092982,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50776,4648.093284,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50827,4653.106606,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50828,4653.106826,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50880,4658.106696,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50882,4658.297116,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
50887,4658.297416,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
50891,4658.29762,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
50938,4663.306782,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
50939,4663.306998,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51009,4668.306841,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51016,4668.452634,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51020,4668.452829,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51025,4668.452997,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51081,4673.457146,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51082,4673.457336,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51131,4678.457239,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51132,4678.501602,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51134,4678.501788,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51141,4678.502033,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51198,4683.507091,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51199,4683.507285,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51264,4688.507193,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51266,4688.723554,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51271,4688.723892,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51275,4688.724108,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51322,4693.757267,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51323,4693.757472,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51372,4698.757327,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51376,4698.866868,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51381,4698.867083,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51385,4698.867249,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51434,4703.907474,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51435,4703.907665,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51486,4708.907538,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51493,4709.192965,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51496,4709.193171,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51502,4709.193412,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51549,4714.207663,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51550,4714.207866,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51596,4718.89246,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51601,4718.892782,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51648,4723.907742,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51649,4723.907929,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51697,4728.907864,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51701,4729.12026,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51706,4729.120492,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51710,4729.120738,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51761,4734.15792,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51762,4734.158189,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51814,4739.157963,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51815,4739.162812,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51819,4739.163005,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51824,4739.163187,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51875,4744.208083,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51876,4744.208274,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51925,4749.20814,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51929,4749.434255,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
51932,4749.434451,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
51938,4749.434758,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
51983,4754.458479,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
51984,4754.458673,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52031,4759.189488,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52036,4759.189751,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52083,4764.208436,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52084,4764.208639,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52133,4769.208443,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52137,4769.48537,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52141,4769.485585,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52146,4769.485774,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52197,4774.508487,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52198,4774.508667,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52247,4779.374398,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52252,4779.374734,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52301,4784.408648,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52302,4784.408834,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52353,4789.408739,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52357,4789.681797,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52359,4789.681952,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52366,4789.68229,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52414,4794.708859,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52415,4794.709044,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52463,4799.638404,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52468,4799.638751,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52520,4804.659201,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52521,4804.65939,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52571,4809.659323,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52575,4809.932253,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52580,4809.932513,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52584,4809.932669,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52638,4814.959265,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52639,4814.959487,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52692,4819.959264,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52694,4820.140341,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52696,4820.140481,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52703,4820.140669,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52750,4825.159406,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52751,4825.159599,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52798,4830.129301,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52803,4830.129627,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52850,4835.159568,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52851,4835.159765,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
52900,4840.068827,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
52905,4840.069169,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
52954,4845.109661,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
52955,4845.109842,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53008,4850.109717,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53011,4850.323523,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53015,4850.323757,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53020,4850.323935,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53068,4855.359779,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53069,4855.359935,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53118,4860.359931,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53122,4860.579725,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53127,4860.580113,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53131,4860.580293,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53174,4865.610042,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53175,4865.610236,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53222,4870.389306,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53227,4870.389575,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53274,4875.410128,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53275,4875.410277,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53324,4880.410221,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53325,4880.455096,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53329,4880.455273,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53334,4880.455521,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53345,4881.569652,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53350,4881.569959,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53401,4886.610317,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53402,4886.610505,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53445,4891.098949,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53450,4891.09931,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53502,4896.110492,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53503,4896.110708,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53553,4900.88719,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53558,4900.887564,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53605,4905.910608,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53606,4905.910796,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53653,4910.910704,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53657,4911.009793,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53662,4911.009984,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53666,4911.010139,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53715,4916.010767,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53716,4916.010964,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53768,4921.010811,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53772,4921.078489,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53776,4921.078711,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53781,4921.07887,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53828,4926.11101,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53829,4926.111204,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53876,4931.110958,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53882,4931.3763,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53886,4931.376498,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53891,4931.376725,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
53937,4936.411169,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
53938,4936.411368,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
53984,4941.324112,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
53989,4941.324429,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
54037,4946.361332,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54038,4946.361523,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54087,4951.361326,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54093,4951.807132,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
54097,4951.807332,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54102,4951.807527,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
54151,4956.811498,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54152,4956.811722,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54201,4961.707615,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
54206,4961.707948,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
54255,4966.711574,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54256,4966.711767,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54304,4971.689592,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
54309,4971.689895,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
54359,4976.71177,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54360,4976.711986,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54412,4981.711864,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54418,4982.218389,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
54420,4982.218509,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54427,4982.218747,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
54476,4987.2621,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54477,4987.262308,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54528,4992.037645,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
54533,4992.037988,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
54580,4997.062331,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54581,4997.062526,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54628,5001.857119,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
54633,5001.8574,172.24.10.211,172.24.10.1,DNP 3.0,148,Response,0
54680,5006.862451,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54681,5006.862661,172.24.10.1,172.24.10.211,DNP 3.0,64,"from 1 to 1024, len=5, Status of Link",0
54730,5011.862479,172.24.10.211,172.24.10.1,DNP 3.0,64,"from 1024 to 1, len=5, Request Link Status",0
54732,5012.014031,172.24.10.1,172.24.10.211,DNP 3.0,81,"Read, Class 0123",0
